Year,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout
1952,Dehra Dun Distt Cum Bijnor Distt NORTH WEST CUM SAHARANPUR DISTRICT WEST,208,GEN,Uttar Pradesh and Uttarakhand,Mahavir Tyagi,Indian National Congress,"3,73,627","1,91,655",0.513
1952,Adilabad,317,GEN,Hyderabad,C. Madhav Reddy,Socialist Party,"3,51,017","1,56,907",0.447
1952,Agra District EAST,227,GEN,Uttar Pradesh and Uttarakhand,Raghubir Singh,Indian National Congress,"3,76,255","1,56,403",0.416
1952,Agra District WEST,226,GEN,Uttar Pradesh and Uttarakhand,Achal Singh Seth,Indian National Congress,"3,74,135","1,77,414",0.474
1952,Ahmedabad,60,GEN,Bombay,Mavlankar Ganesh Vasudeo,Indian National Congress,"7,27,815","7,26,462",0.499
1952,Ahmedabad,60,GEN,Bombay,Vaishya Muldas Bhudardas,Indian National Congress,"7,27,815","7,26,462",0.499
1952,Ahmednagar North,67,GEN,Bombay,Kanavade Pandharinath Ramchandra,Indian National Congress,"3,94,577","1,84,024",0.466
1952,Ahmednagar South,68,GEN,Bombay,Bogavat Uttamchand Ramchand,Indian National Congress,"3,86,878","1,56,054",0.403
1952,Ajmer North,381,GEN,Ajmer,Jawala Prashad,Indian National Congress,"1,62,327","97,165",0.599
1952,Ajmer South,382,GEN,Ajmer,Mukat Behari Lal,Indian National Congress,"1,67,157","81,834",0.49
1952,Aligarh District,225,GEN,Uttar Pradesh and Uttarakhand,Nardeo Ji,Indian National Congress,"7,72,202","7,44,815",0.482
1952,Aligarh District,225,GEN,Uttar Pradesh and Uttarakhand,Shri Chand Singhal,Indian National Congress,"7,72,202","7,44,815",0.482
1952,Allahabad Distt EAST CUM JAUNPUR DISTT WEST,254,GEN,Uttar Pradesh and Uttarakhand,Jawahar Lal Nehru,Indian National Congress,"7,49,750","6,03,022",0.402
1952,Allahabad Distt EAST CUM JAUNPUR DISTT WEST,254,GEN,Uttar Pradesh and Uttarakhand,Masuriya Din,Indian National Congress,"7,49,750","6,03,022",0.402
1952,Allahabad Distt WEST,255,GEN,Uttar Pradesh and Uttarakhand,Sri Prakasa,Indian National Congress,"3,63,930","1,29,771",0.357
1952,Alleppey,374,GEN,Travancore Cochin,P. T. Punnose,Independent,"3,49,268","2,75,409",0.789
1952,Almora District NORTH EAST,211,GEN,Uttar Pradesh and Uttarakhand,Devi Datt,Indian National Congress,"3,73,707","1,00,667",0.269
1952,Alwar,348,GEN,Rajasthan,Sobha Ram,Indian National Congress,"3,82,999","1,99,856",0.522
1952,Ambad,314,GEN,Hyderabad,Hanmanth Rao Ganeshrao,Indian National Congress,"3,81,233","1,45,667",0.382
1952,Ambala Simla,193,GEN,Punjab,Tek Chand,Indian National Congress,"3,65,025","2,00,028",0.548
1952,Amravati East,111,GEN,Uttar Pradesh and Chhattisgarh,Panjabrao Shamrao Deshmukh,Indian National Congress,"3,57,241","2,21,630",0.62
1952,Amravati West,112,GEN,Uttar Pradesh and Chhattisgarh,Krushnarao Gulabrao Deshmukh,Indian National Congress,"3,84,307","2,07,654",0.54
1952,Amritsar,207,GEN,Punjab,Gurmukh Singh Musaffar,Indian National Congress,"3,60,735","1,80,439",0.5
1952,Anantapur,134,GEN,Madras,Paidi Lakshmayya,Indian National Congress,"3,64,429","2,15,922",0.593
1952,Aruppukottai,164,GEN,Madras,U. Muthuramalinga Thevar,Forward Bloc Marxist Group,"3,72,858","2,00,738",0.538
1952,Aurangabad,313,GEN,Hyderabad,Sureshchandra Shivprasad Arya,Indian National Congress,"3,61,434","1,38,306",0.383
1952,Autonomous Districts,2,GEN,Assam,Bonily Khongmen,Indian National Congress,"3,60,630","1,09,663",0.304
1952,Azamgarh District EAST CUM BALLIA DISTRICT WEST,273,GEN,Uttar Pradesh and Uttarakhand,Algu Rai Shastri,Indian National Congress,"3,83,060","1,53,266",0.4
1952,Azamgarh District WEST,272,GEN,Uttar Pradesh and Uttarakhand,Vishwa Nath,Indian National Congress,"7,60,755","5,55,502",0.365
1952,Azamgarh District WEST,272,GEN,Uttar Pradesh and Uttarakhand,Sita Ram,Indian National Congress,"7,60,755","5,55,502",0.365
1952,Bahraich District EAST,259,GEN,Uttar Pradesh and Uttarakhand,Rafi Ahmad Kidwai,Indian National Congress,"3,43,647","96,028",0.279
1952,Bahraich District WEST,260,GEN,Uttar Pradesh and Uttarakhand,Jogendra Singh,Indian National Congress,"3,68,993","1,42,131",0.385
1952,Balaghat,99,GEN,Uttar Pradesh and Chhattisgarh,C. D. Goutam,Indian National Congress,"3,70,922","1,79,578",0.484
1952,Balasore,186,GEN,Orissa,Kanhu Charan Jena,Indian National Congress,"7,51,245","6,07,958",0.405
1952,Balasore,186,GEN,Orissa,Bhagabat Sahu,Indian National Congress,"7,51,245","6,07,958",0.405
1952,Ballia District EAST,276,GEN,Uttar Pradesh and Uttarakhand,Murli Manohar,Independent,"3,68,287","1,26,480",0.343
1952,Banaras District CENTRAL,257,GEN,Uttar Pradesh and Uttarakhand,Raghunath Singh,Indian National Congress,"3,59,514","1,62,478",0.452
1952,Banaras District EAST,258,GEN,Uttar Pradesh and Uttarakhand,Tribhuan Narain Singh,Indian National Congress,"3,72,480","1,53,123",0.411
1952,Banaskantha,55,GEN,Bombay,Chavda Akbar Dalumiyan,Indian National Congress,"3,72,878","1,40,636",0.377
1952,Banda District Cum Fatehpur District,241,GEN,Uttar Pradesh and Uttarakhand,Shive Dayal,Indian National Congress,"7,80,133","3,56,961",0.229
1952,Banda District Cum Fatehpur District,241,GEN,Uttar Pradesh and Uttarakhand,Piarey Lal Kureel,Indian National Congress,"7,80,133","3,56,961",0.229
1952,Bangalore North,335,GEN,Mysore,N. Keshavaiengar,Indian National Congress,"3,89,996","1,77,057",0.454
1952,Bangalore South,336,GEN,Mysore,T. Madiah Gowda,Indian National Congress,"3,45,824","1,55,948",0.451
1952,Bankura,283,GEN,West Bengal,Jagannath Koley,Indian National Congress,"7,19,632","5,65,367",0.393
1952,Bankura,283,GEN,West Bengal,Pashupati Mandal,Indian National Congress,"7,19,632","5,65,367",0.393
1952,Banswara Dungarpur,360,ST,Rajasthan,Bhikha Bhai,Indian National Congress,"3,96,575","1,17,265",0.296
1952,Bareilly District SOUTH,213,GEN,Uttar Pradesh and Uttarakhand,Satish Chandra,Indian National Congress,"3,79,600","1,38,758",0.366
1952,Bargarh,180,GEN,Orissa,Ghanshyam Das Thirani,Independent,"3,68,978","98,141",0.266
1952,Barmer Jalore,352,GEN,Rajasthan,Bhawani Singh,Independent,"3,69,470","1,28,092",0.347
1952,Baroda West,63,GEN,Bombay,Amin Indhubhai Bhailalbhai,Independent,"3,80,593","2,01,509",0.53
